Station,LONG,LAT,ALT,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aberporth,-4.56999,52.13914,133,75.14166667,80.55,80.46666667,67.45,66.69166667,73.1,73.375,75.91666667,62.98333333,83.04166667,54.6,60.75,74.38333333,61.21666667,81.3,68.94166667,78.54166667,76.46666667,68.475,71.05833333,72.58333333,73.74166667,70.975,74.84166667,65.35833333,62.64166667,64.125,76.125,82.26666667,87.58333333,69.06666667,57.74166667,74.3,80.86666667,79.54166667,92.55,74.95,87.71666667,59.01666667,74.45833333,68.56666667,71.63333333,74.36666667,85.44166667,84.16666667,59.48333333,61.38333333,96.06666667,72.79166667,87.16666667,84.85
Armagh,-6.64866,54.35234,62,74.725,86.09166667,75.375,64.73333333,65.04166667,73.59166667,57.83333333,62.675,60.53333333,70.30833333,48.825,62.36666667,65.71666667,64.475,72.10833333,70.69166667,76.925,71.84166667,58.75833333,69.80833333,63.7,71.88333333,61.01666667,73.35,55.45833333,73.64166667,56.64166667,69.725,73.76666667,68.16666667,64.925,62.66666667,63.54166667,70.85833333,73.04166667,73.28333333,53.9,89.2,56.96666667,66.61666667,61.59166667,68.99166667,68.53333333,71.43333333,74.29166667,66.21666667,72.65833333,71.09166667,71.11666667,80.21666667,79.59166667
Bradford,-1.77234,53.81341,134,84.93333333,92.66666667,81.30833333,87.35,77.525,71.30833333,57.85833333,70.76666667,61.25833333,76.15,53.80833333,70.125,73.9,72.48333333,81.56666667,83.04166667,76.65,72.56666667,84.125,73.73333333,60.14166667,82.45,66.03333333,77.075,58.94166667,72.20833333,67.51666667,69.24166667,79.325,80.55,53.90833333,66.26666667,64.94166667,86.90833333,80.93333333,95.20833333,65.275,90.35,52.925,72.25,60.50833333,66.95,83.51666667,92.23333333,70.83333333,58.475,55.25,102.7583333,62.33333333,86.11666667,92.36666667
Braemar,-3.39635,57.00612,327,63.33333333,78.75,79.59166667,67,64.69166667,76.91666667,55.75,67.5,56.525,85.225,63.125,72.29166667,78.59166667,76.99166667,76.33333333,73.33333333,69.75,109.2583333,78.94166667,87.71666667,82.35833333,80.71666667,61.63333333,79.29166667,64.86666667,83.23333333,74.25,72.41666667,80.75833333,75.33333333,80.84166667,64.53333333,67.70833333,84.54166667,80.73333333,97.08333333,69.31666667,93.03333333,51.13333333,78.15,78.94166667,75.275,77.3,78.55,77.38333333,68.66666667,89.45,67.675,71.23333333,104.1833333,89.71666667
Cambridge,0.10196,52.24501,26,49.64166667,50.625,49.3,48.80833333,44.375,50.525,45.18333333,33.61666667,34.36666667,52.35833333,42.6,41.525,44.55,46.33333333,52.35833333,40.96666667,47.54166667,57.20833333,48.34166667,52.85833333,42.80833333,48.1,51.49166667,49.08333333,43.175,33.99166667,37.525,55.06666667,56.25833333,45.65,41.34166667,31.45833333,42.24166667,55.39166667,52.04166667,58.275,56.19166667,52.35,39.275,45.16666667,48.51666667,43.43333333,49.89166667,50.88333333,43.96666667,40.125,28.93333333,60.60833333,38.4,57.48333333,40.49166667
Chivenor,-4.14743,51.08865,6,74.56666667,74.93333333,72.49166667,76.7,76.21666667,76.41666667,68.55833333,71.83333333,57.73333333,93.80833333,84.24166667,79.475,80.88333333,69.40833333,73.19166667,71.94166667,76.98333333,67.325,80.29166667,71.9,77.06666667,71.19166667,71.88333333,86.96666667,89.7,71.59708706,62.78333333,68.96666667,84.28333333,85.3,114.4666667,64.95,79.26666667,59.61666667,72.60833333,71.375,61.875,77.19166667,81.20833333,88.38333333,65.31666667,71.68333333,105.8333333,75.80833333,83,83.9,72.96666667,78.06666667,69.11666667,92.35,90.16666667
Durham,-1.58455,54.76786,102,67.88333333,63.75,59.93333333,61.93333333,63.20833333,46.90833333,45.09166667,45.94166667,41.95,49.08333333,45.51666667,56.9,49.51666667,62.325,65.25833333,67.39166667,57.775,48.75833333,56.28333333,51.28333333,53.825,59.10833333,60.825,53.55833333,34.65833333,49.8,44.4,53.4,62.475,50.96666667,50.45833333,43.35,53.46666667,68.16666667,52.05,74.01666667,53.14166667,61.28333333,40.55,57.575,51.575,51.99166667,52.01666667,68.10833333,61.91666667,60.9,47.18333333,84.83333333,61.85833333,54.81666667,60.35
Eastbourne,0.28543,50.76167,7,72.26666667,77.125,73.93333333,60.94166667,63.825,75.46666667,57.51666667,49.41666667,46.475,85.25,68.15833333,59.25833333,57.7,55.65,68.65,79.36666667,72.14166667,71.15833333,60.425,75.65833333,54.13333333,67.71666667,75.75,63.525,55.43333333,58.325,65.19166667,67.65,73.65,81.275,54.28333333,53.51666667,68.40833333,71.65833333,68.31666667,88.525,77.125,84.83333333,53.19166667,56.88333333,51.13333333,61.51666667,60.825,62.95,71.86666667,59.71666667,52.44166667,79.35833333,69.80833333,82.70833333,71.40833333
Eskdalemuir,-3.206,55.311,242,127.0416667,128.85,139.7583333,114.7,94.79166667,120.0166667,99.66666667,118.15,85.675,129.1833333,111.4416667,108.1666667,141.0416667,119.7916667,137.3166667,135.575,136.4833333,158.9,130.0416667,117.55,156.1,163.5,127.0583333,145.525,130.9,164.6,137.2583333,163.15,139.15,153.0416667,131.8833333,128.7916667,141.9166667,163.3166667,152.0333333,157.2083333,111.6166667,173.2833333,109.225,161.225,145.4833333,151.975,138.8166667,174.0083333,181.575,106.85,190.8,166.2666667,149.6,166.9083333,204.3083333
Heathrow,-0.44904,51.47872,25,55.90833333,63.43333333,58.2,62.94166667,46.98333333,54.7,51.54166667,37.01666667,40.44166667,60.79166667,48.81666667,38.1,53.24166667,48.76666667,57.04166667,49.00833333,56.63333333,54.15,44.58333333,53.475,43.85833333,53.08333333,54.5,46.00833333,44.475,35.45,44.43333333,54.11666667,51.15833333,52.56666667,44.93333333,35.05833333,37.05833333,57.09166667,55.175,68.36666667,58.775,65.55833333,39.625,51.55,37.5,53,56.74166667,54.71666667,56.9,43.45,42.43333333,58.95,46.675,72,46.83333333
Hurn,-1.83483,50.7789,10,70.60833333,82.79166667,76.81666667,71.525,68.01666667,68.475,53.16666667,70.71666667,42.425,77.81666667,51.05,56.9,75.525,66.41666667,67.03333333,65.65,72.13333333,81.55,62.44166667,66.125,60.2,73.99166667,60.70833333,60.7,65,58.68333333,61.25,65.16666667,86.48333333,79.525,69.80833333,60.925,67.95,75.825,76.59166667,99.34166667,70.98333333,88.01666667,60.03333333,62.95,54.6,64.325,73.975,74.83333333,75.03333333,58.93333333,60.86666667,94.05,76.15,101.4333333,67.8
Lerwick,-1.1299,60.13946,82,94.70833333,100.1,124.05,82.95,103.0916667,108.3833333,103.6,88.40833333,118.7666667,83.76666667,90.775,85.11666667,95.65833333,86.81666667,129.2333333,89.39166667,117.0083333,101.275,109.8416667,90.85,90.60833333,106.8833333,97.175,108.5416667,102.1416667,127.4416667,99.80833333,106.1333333,93.26666667,121.4,106.675,82.66666667,91.35833333,119.7416667,128.4583333,117.375,94.56666667,94,94.24166667,103.9333333,114.3416667,110.1333333,103.6833333,104.9833333,106.9666667,90.40833333,103.8666667,103.0833333,94.69166667,112.4166667,126.7333333
Leuchars,-2.86051,56.37745,10,57.66666667,69.89166667,48.38333333,57.70833333,55.05833333,54.28333333,41.425,45.36666667,34.625,52.56666667,43.5,55.24166667,61.225,66.54166667,53.675,61.44166667,53.55833333,59.86666667,49.575,60.25833333,71.98333333,50.65833333,58.93333333,63.2,37.86666667,54.85833333,50.775,58.20833333,68.63333333,42.975,56.9,50.5,52.85833333,61.475,50.3,65.63333333,52.49166667,82.5,41.35833333,69.26666667,58.88333333,51.58333333,58.70833333,67.1,65.94166667,62.075,71.15,74.66666667,52.43333333,67.54166667,60.54166667
Lowestoft,1.72679,52.48323,18,59.35,47.65833333,57.74166667,52.30833333,46.6,45.06666667,31.20833333,41.95,55.64166667,48.94166667,43.51666667,39.525,44.675,50.94166667,46.96666667,52.41666667,51.775,44.41666667,51.40833333,54.54166667,60.05833333,53.88333333,47.73333333,37.96666667,47.025,32.11666667,53.09166667,65.06666667,46.80833333,45.01666667,41.45833333,43.54166667,59.675,55.95833333,60.11666667,66.425,57.36666667,45.71666667,57.81666667,52.03333333,56.81666667,61.075,58.98333333,48.43333333,56.96666667,37.08333333,65.28333333,45.14166667,60.13333333,52.43333333,52.46666667
Nairn,-3.82097,57.593,23,56.025,66.30833333,50.325,56.725,39.70833333,58.40833333,42.45833333,28.975,51.475,47.575,44.18333333,38.31666667,47.65833333,53.51666667,49.06666667,64.2,47.30833333,48.25833333,39.70833333,44.4,49.21666667,41.88333333,51.06666667,58.175,43.98333333,66.21666667,41.81666667,50.85833333,51.33333333,55.29166667,52.83333333,36.61814832,59.64166667,65.475,54.11666667,59.91666667,49.325,61.725,39.325,65.06666667,52.83333333,60.39166667,59.175,53.16666667,64.675,53.21666667,61.175,51.45833333,41.375,62.76666667,62.025
Newton Rigg,-2.78644,54.6699,169,72.88333333,80.36666667,100.275,82.83333333,71.01666667,74.91666667,63.70833333,72.775,59.575,92.85833333,62.7,67.45,75.65,77.23333333,80.45833333,76.33333333,80.39166667,86.3,73.95,74.40833333,75.8,77.65,81.83333333,82.60833333,70.19166667,92.19166667,83.25,77.16666667,83.025,97.29166667,65.36666667,56.125,66.45833333,85.28333333,84.65,99.9,63.89166667,96.19166667,56.28333333,83.89166667,71.40833333,86.49166667,79.4,90.48333333,87.4,57.35833333,83.98333333,91.63333333,73.575,89.91666667,101.85
Oxford,-1.2625,51.76073,63,54.86666667,62.6,58.33333333,67.75833333,50.76666667,53.46666667,61.71666667,47.975,41.21666667,65.31666667,44.86666667,42.43333333,59.21666667,48.06666667,62.65833333,52.85833333,56.90833333,54.54166667,48.14166667,50.725,55.16666667,58.675,49.63333333,47.59166667,49.9,39.41666667,43.9,66.3,60.3,58.625,56.95,38.13333333,49.96666667,63.775,61.39166667,68.89166667,56.41666667,67.79166667,44.20833333,60.61666667,42.05833333,63.75833333,62.825,68.40833333,51.70833333,50.30833333,40.075,82.03333333,52.98333333,66.41666667,45.61666667
Paisley,-4.42966,55.8455,32,96.13333333,98.85833333,101.8333333,90.3,73.50833333,92.68333333,73.95833333,79.84166667,80.05,87.81666667,85.4,83.9,100.0166667,96.825,103.175,96.53333333,103.0416667,111.8916667,97.8,91.925,111.6333333,119.8666667,93.35,106.9583333,99.36666667,127.7166667,102.05,116.175,104.5833333,118.6583333,103.4333333,79.9,88.025,118.8166667,121.1416667,109.425,70.26666667,112.125,72.6,108.35,95.9,120,101.2583333,124.45,103.0916667,78.93333333,133.275,109.7083333,96.60833333,104.8,133.6
Ross on Wye,-2.58441,51.91075,67,62.11666667,61.34166667,65.56666667,68.68333333,54.91666667,66.55833333,56.61666667,60.11666667,39.89166667,62.6,45.05833333,55.65,64.68333333,55.14166667,63.09166667,56.89166667,63.94166667,65.46666667,52.86666667,55.23333333,60.70833333,64.04166667,54.89166667,48.50833333,60.73333333,54.875,56.41666667,59.9,62.41666667,62.51666667,56.625,50.725,57.63333333,65.1,70.875,83.24166667,63.95,74.98333333,43.54166667,57.68333333,56.43333333,62.40833333,75.78333333,74.68333333,67.45,49.00833333,43.48333333,87.725,64.23333333,82.35833333,54.35
Shawbury,-2.66329,52.79433,72,68.95,69.26666667,58.81666667,61.36666667,59.65,55.70833333,52.3,56.86666667,51.31666667,51.04166667,37.88333333,51.99166667,56.23333333,50.96666667,62.64166667,62.85,56.275,60.025,46.24166667,54.41666667,55.4,53.33333333,56.71666667,56.78333333,49.06666667,50.23333333,43.14166667,64.00833333,60.44166667,56.54166667,50.15833333,44.85833333,52.01666667,56.85,66.525,72.15833333,51.725,56.75,48.54166667,55.825,55.45,49.91666667,66.43333333,64.53333333,51.48333333,43.89166667,37.93333333,78.76666667,57.35,62.58333333,54.125
Sheffield,-1.48986,53.38101,131,86.54166667,80.75,66.89166667,73.05,78.725,65.55,64.2,67.38333333,63.44166667,64.51666667,46.60833333,56.18333333,73.63333333,68.65833333,80.03333333,73.15,78.38333333,69.31666667,75.51666667,72.20833333,56.175,83.175,65.775,76.25,61.425,63.58333333,55.55833333,68.70833333,76.15,75.425,55.65,62.28333333,65.39166667,77.11666667,73.35,90.575,63.7,87.50833333,49.6,71.26666667,60.575,65.43333333,79.06666667,80.88333333,74.66666667,51.53333333,47.7,95.53333333,60.68333333,72.01666667,66.08333333
Stornoway,-6.31772,58.21382,15,92.61666667,91.46666667,109.825,66.66666667,86.16666667,95.85833333,93.85833333,75.64166667,98.84166667,100.6833333,85.04166667,91.14166667,91.925,96.23333333,100.875,101.9,112.2416667,117.75,104.9333333,89.35833333,103.4333333,108.5833333,87.575,107.9333333,123.225,128.625,89.4,120.6,93.175,107.3166667,102.7333333,91.625,97.56666667,115.0333333,128.9166667,114.8,81.50833333,90.95,85.325,99.78333333,106.15,104.7416667,109.9833333,102.4333333,113.1666667,76.96666667,107.4666667,91.98333333,99.05833333,108.5,124.8333333
Sutton Bonington,-1.25,52.8331,48,58.96666667,62.025,50.59166667,56.09166667,60.46666667,44.63333333,48.2,47.35,51.95833333,52.8,40.14166667,37.71666667,60.65,51.2,52.19166667,56.11666667,50.00833333,56.64166667,45.65,54.01666667,49.54166667,51.19166667,52.2,52.2,51.18333333,43.38333333,39.30833333,56.125,57.76666667,54.45833333,40.7,37.21666667,43.45833333,62.26666667,60.00833333,56.93333333,56.225,63.59166667,40.28333333,63.29166667,51.36666667,51.025,63.43333333,56.1,49.01666667,42.575,33.49166667,69.31666667,46.2,52.54166667,48.56666667
Tiree,-6.8796,56.49999,12,93.88333333,82.95,105.6833333,75.10833333,82.83333333,93.95,82.88333333,89.15833333,87.41666667,101.9333333,92.325,93.20833333,82.56666667,92,107.9416667,107.1916667,99.35833333,114.1416667,89.625,104.7166667,106.5416667,109.4833333,100.5333333,113.6083333,115.225,126.5916667,106.8083333,120.2916667,106.2083333,112.5666667,97.4,104.9583333,92.06666667,112.1833333,117.7583333,106.7833333,81.80833333,106.3333333,83.91666667,103.0083333,102.4416667,105.75,88.40833333,107.9666667,118.4583333,82.40833333,125.8166667,99.31666667,100.8583333,125.9,123.4
Valley,-4.53524,53.25238,10,83.83333333,76.70833333,80.175,67.89166667,71.375,73.25833333,54.25,67.05,65.8,72.38333333,59.8,57.64166667,76.73333333,62.95,77.78333333,75.30833333,75.14166667,69.65,67.1,74.70833333,72.5,75.1,72.01666667,69.45,62.775,64.9,51.90833333,72.7,67.10833333,75.675,59.09166667,56.95833333,59.38333333,77.95833333,75.46666667,100.7333333,61.48333333,81.46666667,63.55,66.98333333,64.69166667,79.5,64.475,86.64166667,72.60833333,61.35,63.38333333,85.14166667,70.33333333,78.58333333,81.16666667
Waddington,-0.52173,53.17509,68,63.98333333,53.99166667,51.64166667,53.85833333,60.36666667,48.44166667,41.76666667,46.88333333,45.25,54.04166667,39.21666667,45.475,50.49166667,57,56.075,61.9,56.7,50.18333333,49.99166667,55.08333333,50.875,52.04166667,57.85833333,51.06666667,44.83333333,38.40833333,34.3,53.1,54.56666667,51.25833333,36.76666667,37.325,50.39166667,52.50833333,56.29166667,63.85833333,53.19166667,61.13333333,43.025,60.53333333,46.99166667,47.65833333,64.30833333,60.41666667,46.55,53.98333333,35.29166667,68.9,43.13333333,52.03333333,44.26666667
Whitby,-0.62411,54.48073,41,47.825,55.525,48.04166667,42.17373794,46.9673711,44.56666667,36.175,34.56666667,37.875,41.18105772,39.80833333,47.425,46.13333333,56.09166667,55.06666667,52.68333333,58.01666667,47.2,45.50833333,51.56666667,49.51666667,51.30833333,52.31666667,47.93333333,32.46666667,41.80833333,33.675,48.46666667,48.93333333,46.275,39.63641551,34.11666667,43.63333333,50.09166667,47.39166667,68.6963042,57.49166667,63.50833333,47.36666667,67.575,56.575,54.20833333,54.74166667,65.14166667,54.66666667,69.9,46.775,73.575,45.53333333,61.225,47.36666667
Wick,-3.0884,58.45406,36,68.725,83.8,72.50833333,61.775,65.71666667,74.36666667,53.35,46.85833333,71.9,61.075,51.85833333,55.28333333,62.71666667,61.65833333,77.91666667,72.66666667,78.75833333,70.06666667,60.55,76.025,83.375,61.21666667,67.33333333,69.14166667,50.33333333,69.51666667,60.11666667,73.68333333,58.975,58.45,69,68.60833333,63.96666667,86.04166667,72.45833333,70.68333333,72.74166667,70.325,61.81666667,64.96666667,67.21666667,69.10833333,65.36666667,59.93333333,76.775,59.20833333,67.45,65.33333333,53.525,65.66666667,63.15
Yeovilton,-2.64148,51.00586,20,67.35,72.93333333,65.93333333,59.58333333,63,60.425,57.725,69.9,53.86666667,74.26666667,50.775,59.59166667,63.3,58.33333333,73.89166667,64.93333333,60.69166667,65.84166667,48.10833333,51.01666667,52.6,63.79166667,51.65833333,55.65833333,61.68333333,51.19166667,57.68333333,60.175,63.81666667,68.30833333,56.20833333,46.79166667,56.78333333,66.2,71.75833333,77.975,58.81666667,79.71666667,45.24166667,53.88333333,58.59166667,53.75,60.76666667,67.3,56.475,47.925,49.06666667,82.21666667,54.35,76.16666667,53.09166667
